category,url,title
International,http://www.thehindu.com/news/international/nigeria-puts-fortress-towns-at-heart-of-new-boko-haram-strategy/article21254263.ece,Nigeria puts fortress towns at heart of new Boko Haram strategy
International,http://www.thehindu.com/news/international/60-earthquake-strikes-off-coast-of-ecuador/article21254275.ece,6.0 earthquake strikes off coast of Ecuador
International,http://www.thehindu.com/news/international/sri-lanka-formally-hands-over-hambantota-port-on-99-year-lease-to-china/article21380382.ece,Sri Lanka formally hands over Hambantota port on 99-year lease to China
International,http://www.thehindu.com/news/international/trump-says-he-never-asked-comey-to-stop-flynn-probe/article21254294.ece,Trump says he never asked Comey to stop Flynn probe
National,http://www.thehindu.com/news/national/modi-resumes-campaign-in-gujarat-iran-inaugurates-chabahar-port-and-other-top-stories-of-the-day/article21254403.ece,"Modi resumes Gujarat campaign, Iran inaugurates Chabahar port, and other top stories of the day"
International,http://www.thehindu.com/news/international/us-allies-fret-as-guillotine-hangs-over-tillerson/article21254397.ece,U.S. allies fret as “guillotine” hangs over Tillerson
International,http://www.thehindu.com/news/international/record-breaking-nine-hour-rainbow-appears-in-taiwan/article21267917.ece,Record-breaking nine-hour rainbow appears in Taiwan
National,http://www.thehindu.com/news/national/day-in-pictures-december-3-2017/article21254467.ece,"Day in pictures - December 3, 2017"
National,http://www.thehindu.com/news/national/2g-case-verdict-on-dec-21-ayodhya-case-hearing-on-feb-8-and-other-top-stories-of-the-day/article21267783.ece,"2G case verdict on Dec. 21, Ayodhya case hearing on Feb. 8 and other top stories of the day"
International,http://www.thehindu.com/news/international/philippine-leader-declares-communist-rebels-are-terrorists/article21268563.ece,Philippine leader declares communist rebels are terrorists
International,http://www.thehindu.com/news/international/china-india-vow-to-protect-globalisation/article21268429.ece,"China, India vow to protect globalisation"
International,http://www.thehindu.com/news/international/russia-us-move-may-worsen-israel-palestine-conflict/article21290553.ece,Russia: U.S. move may worsen Israel-Palestine conflict
International,http://www.thehindu.com/news/international/jerusalem-must-be-capital-of-israel-and-palestine-mogherini/article21290606.ece,Jerusalem must be capital of Israel and Palestine: Mogherini
National,http://www.thehindu.com/news/national/is-dawood-ibrahim-suffering-from-depression/article20932532.ece,Is Dawood Ibrahim suffering from depression?
International,http://www.thehindu.com/news/international/15-pilgrims-killed-in-pakistan-boat-capsize/article21290948.ece,15 pilgrims killed in Pakistan boat capsize
National,http://www.thehindu.com/news/national/court-to-frame-charges-in-muzaffarnagar-case/article20935023.ece,Court to frame charges in Muzaffarnagar case
International,http://www.thehindu.com/news/international/the-importance-of-london-mayors-call-for-british-apology-over-jallianwala-bagh-massacre/article21290755.ece,The importance of London Mayor's call for British apology over Jallianwala Bagh massacre
National,http://www.thehindu.com/news/national/pm-in-denial-about-economy-cong/article20935869.ece,PM in denial about economy: Cong.
National,http://www.thehindu.com/news/national/prisoners-were-injured-in-scuffle-tihar-report/article21235665.ece,Prisoners were injured in scuffle: Tihar report
National,http://www.thehindu.com/news/national/new-us-ambassador-kenneth-juster-is-an-old-india-hand/article20934918.ece,New U.S. Ambassador Kenneth Juster is an old India hand
National,http://www.thehindu.com/news/national/winter-may-be-warmer-than-40-year-normal/article21236235.ece,Winter may be warmer than 40-year normal
National,http://www.thehindu.com/news/national/ed-conducts-searches-in-sterling-biotech-case/article21235741.ece,ED conducts searches in Sterling Biotech case
National,http://www.thehindu.com/news/national/no-law-and-order-in-tripura-bjp/article21235824.ece,No law and order in Tripura: BJP
National,http://www.thehindu.com/news/national/aiyar-extends-apology-to-modi-centre-extends-deadline-for-aadhaar-linking-and-other-top-stories-of-the-day/article21290909.ece,"Aiyar tenders apology for remarks on Modi, Centre extends deadline for Aadhaar linking, and other top stories of the day"
National,http://www.thehindu.com/news/national/maggi-makers-nestle-distributors-fined-62-lakh-in-up/article21039844.ece,"Maggi makers Nestle, distributors fined ₹62 lakh in U.P."
National,http://www.thehindu.com/news/national/120-bpm-wins-golden-peacock/article21040464.ece,'120 BPM' wins Golden Peacock at IFFI 2017
National,http://www.thehindu.com/news/national/ges-2017-narendra-modi-invites-global-entrepreneurs-to-invest-in-india/article21040290.ece,GES-2017: Narendra Modi invites global entrepreneurs to invest in India
National,http://www.thehindu.com/news/national/padmavati-row-sanjay-leela-bhansali-and-prasoon-joshi-meet-parliamentary-panel/article21236431.ece,Padmavati row: L.K. Advani comes to Bhansali’s rescue
International,http://www.thehindu.com/news/international/russian-strikes-kill-34-civilians-in-syrias-deir-ezzor-monitor/article20944520.ece,Russian air strikes kill 34 civilians in Syria’s Deir Ezzor: monitor
International,http://www.thehindu.com/news/international/syrian-government-push-for-damascus-rebel-enclave-kills-at-least-19/article20944338.ece,Syrian push to take Damascus rebel enclave kills 19
